SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20210823,53.8,54.55,48.45,49.45,151801
21STCENMGM,20210823,29.95,29.95,29.95,29.95,4049
3IINFOTECH,20210823,7.35,7.5,6.95,7.0,5562142
3MINDIA,20210823,23199.65,23272.5,22741.95,22799.9,3628
3PLAND,20210823,13.3,13.95,13.25,13.25,6084
5PAISA,20210823,461.0,469.95,423.55,431.45,32398
63MOONS,20210823,94.9,94.9,87.2,88.3,60488
A2ZINFRA,20210823,4.25,4.3,4.05,4.05,345655
AAKASH,20210823,249.0,261.95,235.25,238.45,28215
AAREYDRUGS,20210823,37.15,39.0,31.15,35.8,73751
AARON,20210823,99.8,103.0,95.0,96.9,4546
AARTIDRUGS,20210823,607.0,609.8,580.0,586.55,250300
AARTIIND,20210823,936.0,942.3,893.95,910.9,1157287
AARTISURF,20210823,1415.0,1418.45,1290.0,1298.05,32068
AARVEEDEN,20210823,18.5,18.6,17.6,17.6,14043
AARVI,20210823,52.0,53.85,50.3,50.6,28832
AAVAS,20210823,2415.0,2438.0,2301.55,2378.0,254478
ABAN,20210823,38.75,39.7,37.05,37.9,99767
ABB,20210823,1715.0,1731.9,1624.35,1674.95,82244
ABBOTINDIA,20210823,19050.0,19101.0,18804.0,18945.45,7464
ABCAPITAL,20210823,108.0,109.6,98.0,99.05,5359937
ABFRL,20210823,202.0,203.7,192.45,194.0,1542994
ABSLBANETF,20210823,346.19,356.57,346.19,350.01,666
ABSLNN50ET,20210823,406.2,406.2,395.2,398.0,89
ACC,20210823,2300.0,2320.0,2230.55,2261.45,477873
ACCELYA,20210823,1289.0,1298.0,1212.2,1223.15,49657
ACCURACY,20210823,119.75,127.0,107.3,111.2,320520
ACE,20210823,211.9,214.5,192.05,194.55,1279145
ACRYSIL,20210823,577.0,612.0,565.05,578.0,83264
ADANIENT,20210823,1415.05,1427.75,1361.55,1396.7,4866080
ADANIGREEN,20210823,935.0,953.0,914.0,933.65,2179201
ADANIPORTS,20210823,691.8,691.8,665.0,668.3,6636881
ADANIPOWER,20210823,77.45,78.0,73.6,73.6,3332697
ADANITRANS,20210823,1157.0,1179.6,1150.0,1179.6,160423
ADFFOODS,20210823,779.6,788.5,710.0,735.85,46305
ADL,20210823,36.1,37.35,36.0,37.35,3727
ADORWELD,20210823,675.4,709.95,651.0,653.05,15702
ADROITINFO,20210823,9.8,9.8,9.35,9.35,532
ADSL,20210823,59.5,63.5,57.5,57.9,171645
ADVANIHOTR,20210823,74.8,74.8,67.8,69.0,50513
ADVENZYMES,20210823,385.0,385.0,353.3,368.6,396837
AEGISCHEM,20210823,277.0,277.05,263.1,270.75,557820
AFFLE,20210823,4000.0,4022.05,3815.1,3836.15,104297
AGARIND,20210823,315.0,315.0,293.45,293.45,39207
AGCNET,20210823,1098.9,1098.9,1027.0,1040.1,1554
AGRITECH,20210823,43.4,45.35,42.6,43.75,13212
AGROPHOS,20210823,16.35,16.9,15.1,15.8,58505
AHLADA,20210823,175.7,175.7,159.0,159.0,51040
AHLEAST,20210823,172.2,174.95,171.0,171.25,3941
AHLUCONT,20210823,375.95,375.95,367.35,370.7,35605
AHLWEST,20210823,283.4,286.7,282.95,283.35,1986
AIAENG,20210823,1974.0,1988.95,1920.05,1928.55,114414
AIRAN,20210823,20.4,20.9,19.75,20.0,54045
AJANTPHARM,20210823,2240.15,2270.0,2205.0,2235.75,59793
AJMERA,20210823,344.0,344.0,325.2,329.0,17774
AJOONI,20210823,54.95,55.65,51.45,53.45,105649
AJRINFRA,20210823,1.55,1.6,1.55,1.55,312090
AKASH,20210823,165.0,165.0,153.75,155.3,6469
AKG,20210823,23.4,23.4,21.5,22.55,1627
AKSHARCHEM,20210823,420.25,435.0,385.0,393.5,53581
AKSHOPTFBR,20210823,8.65,8.9,8.25,8.25,167929
AKZOINDIA,20210823,2263.0,2263.0,2160.2,2188.1,11034
ALANKIT,20210823,15.35,15.45,14.15,14.6,375922
ALBERTDAVD,20210823,570.0,584.0,542.0,547.15,39227
ALCHEM,20210823,3.3,3.3,3.3,3.3,585
ALEMBICLTD,20210823,104.25,104.3,98.8,99.05,281755
ALICON,20210823,760.0,794.95,730.05,773.35,23603
ALKALI,20210823,69.1,70.8,62.6,64.75,26349
ALKEM,20210823,3820.0,3856.3,3770.55,3796.55,121111
ALKYLAMINE,20210823,4098.0,4120.8,3975.0,3996.4,86635
ALLCARGO,20210823,208.5,213.95,195.65,199.1,2094117
ALLSEC,20210823,416.8,418.95,398.05,402.55,17985
ALMONDZ,20210823,69.0,71.35,67.0,70.7,13917
ALOKINDS,20210823,21.5,21.7,20.65,20.85,5493778
ALPA,20210823,55.9,55.9,49.15,50.85,46272
ALPHAGEO,20210823,343.75,345.15,315.0,319.15,48152
ALPSINDUS,20210823,2.2,2.4,2.2,2.2,54729
AMARAJABAT,20210823,703.3,703.4,675.2,680.5,1343726
AMBER,20210823,2809.0,2809.0,2710.75,2742.8,47431
AMBICAAGAR,20210823,18.0,18.0,16.25,16.25,66025
AMBIKCO,20210823,1507.9,1527.0,1425.0,1446.95,43295
AMBUJACEM,20210823,396.7,396.7,381.25,390.65,5438059
AMDIND,20210823,26.75,27.85,26.75,27.5,28230
AMJLAND,20210823,29.6,30.3,27.4,27.95,28913
AMRUTANJAN,20210823,683.1,700.0,665.0,678.05,36428
ANANTRAJ,20210823,58.0,59.3,55.5,58.45,166336
ANDHRACEMT,20210823,24.5,26.0,23.65,26.0,874018
ANDHRAPAP,20210823,230.55,231.45,214.85,217.55,31344
ANDHRSUGAR,20210823,530.7,538.75,491.55,499.1,79343
ANDREWYU,20210823,25.55,25.55,22.8,24.4,191520
ANGELBRKG,20210823,1192.0,1202.25,1065.5,1072.2,677402
ANIKINDS,20210823,18.1,18.1,17.15,17.15,9480
ANKITMETAL,20210823,1.65,1.65,1.65,1.65,32105
ANMOL,20210823,180.0,190.0,166.0,168.9,10652
ANSALAPI,20210823,10.4,10.6,9.55,10.0,503453
ANSALHSG,20210823,6.7,6.95,6.4,6.45,80964
ANTGRAPHIC,20210823,0.55,0.65,0.55,0.65,596431
ANUP,20210823,964.35,980.85,923.0,934.45,34584
ANURAS,20210823,728.5,733.0,711.35,719.65,369524
APARINDS,20210823,612.5,623.05,590.0,600.3,107753
APCL,20210823,440.0,440.3,401.25,405.6,110951
APCOTEXIND,20210823,320.1,320.1,292.25,306.6,85261
APEX,20210823,255.0,258.0,236.0,240.25,176424
APLAPOLLO,20210823,1610.0,1625.0,1520.0,1543.45,126299
APLLTD,20210823,745.0,746.0,720.35,734.55,407659
APOLLO,20210823,106.8,107.35,98.7,99.8,132355
APOLLOHOSP,20210823,4780.0,4839.65,4720.2,4743.25,699991
APOLLOPIPE,20210823,1360.0,1360.0,1272.35,1294.75,43142
APOLLOTYRE,20210823,213.7,214.15,204.25,205.35,4079880
APOLSINHOT,20210823,780.0,922.95,752.65,874.8,15092
APTECHT,20210823,247.35,249.1,242.0,246.4,236939
ARCHIDPLY,20210823,30.8,30.8,28.55,29.2,17926
ARCHIES,20210823,16.95,16.95,16.15,16.4,52520
ARCOTECH,20210823,2.1,2.1,1.9,2.1,94532
ARENTERP,20210823,26.1,26.1,26.1,26.1,2011
ARIES,20210823,143.55,148.15,131.35,134.9,80781
ARIHANT,20210823,26.0,27.5,24.5,25.85,11999
ARIHANTCAP,20210823,140.2,145.15,127.45,129.15,51652
ARIHANTSUP,20210823,114.9,114.9,105.05,108.3,101090
ARMANFIN,20210823,669.5,672.05,627.8,643.45,8910
AROGRANITE,20210823,70.9,73.3,67.0,67.4,110558
ARROWGREEN,20210823,115.25,115.25,111.15,111.15,13659
ARSHIYA,20210823,27.5,29.5,26.25,27.05,82024
ARSSINFRA,20210823,27.3,27.45,24.05,24.8,35984
ARTEMISMED,20210823,323.1,339.0,318.45,319.1,6341
ARVEE,20210823,97.85,100.0,93.0,95.0,811
ARVIND,20210823,91.0,91.4,84.35,85.85,960455
ARVINDFASN,20210823,251.0,272.0,251.0,261.85,5781243
ARVSMART,20210823,116.5,119.95,113.75,115.25,115689
ASAHIINDIA,20210823,334.5,340.0,324.95,328.1,95493
ASAHISONG,20210823,351.0,351.0,323.3,332.3,33180
ASAL,20210823,50.6,52.05,50.45,50.45,12286
ASALCBR,20210823,443.0,466.0,415.0,422.35,68953
ASHAPURMIN,20210823,128.55,134.8,122.55,122.55,74832
